17.73597,17.71136,17.68731,17.66381,17.64085,17.61843,17.59655,17.57521,17.5544,17.53412,17.51436,17.49513,17.47642,17.45823,17.44055,17.42339,17.40673,17.39059,17.37495,17.35981,17.34518,17.33104,17.31741,17.30426,17.29161,17.27946,17.26779,17.25661,17.24592,17.23572,17.226,17.21676,17.208,17.19972,17.19193,17.1846,17.17776,17.17139,17.1655,17.16009,17.15514,17.15067,17.14667,17.14314,17.14009,17.1375,17.13539,17.13374,17.13257,17.13186,17.13163,17.13186.1,17.13257.1,17.13374.1,17.13539.1,17.1375.1,17.14009.1,17.14314.1,17.14667.1,17.15067.1,17.15514.1,17.16009.1,17.1655.1,17.17139.1,17.17776.1,17.1846.1,17.19193.1,17.19972.1,17.208.1,17.21676.1,17.226.1,17.23572.1,17.24592.1,17.25661.1,17.26779.1,17.27946.1,17.29161.1,17.30426.1,17.31741.1,17.33104.1,17.34518.1,17.35981.1,17.37495.1,17.39059.1,17.40673.1,17.42339.1,17.44055.1,17.45823.1,17.47642.1,17.49513.1,17.51436.1,17.53411,17.5544.1,17.57521.1,17.59655.1,17.61843.1,17.64084,17.6638,17.68731.1,17.71136.1,0, 0, 0.1,  
17.73597,17.71136,17.68731,17.66381,17.64085,17.61843,17.59655,17.57521,17.5544,17.53412,17.51436,17.49513,17.47642,17.45823,17.44055,17.42339,17.40673,17.39059,17.37495,17.35981,17.34518,17.33104,17.31741,17.30426,17.29161,17.27946,17.26779,17.25661,17.24592,17.23572,17.226,17.21676,17.208,17.19972,17.19193,17.1846,17.17776,17.17139,17.1655,17.16009,17.15514,17.15067,17.14667,17.14314,7.037318,6.934584,6.878541,6.838618,6.80827,6.784745,6.766581,6.752928,6.743242,6.737205,6.734627,6.735427,6.739638,6.747374,6.758893,6.774619,6.795191,6.821713,6.85613,6.90244,6.972253,17.1846,17.19193,17.19972,17.208,17.21676,17.226,17.23572,17.24592,17.25661,17.26779,17.27946,17.29161,17.30426,17.31741,17.33104,17.34518,17.35981,17.37495,17.39059,17.40673,17.42339,17.44055,17.45823,17.47642,17.49513,17.51436,17.53411,17.5544,17.57521,17.59655,17.61843,17.64084,17.6638,17.68731,17.71136,272.187,2349.759,2982.876, sphere(Clone) 
17.73597,17.71136,17.68731,17.66381,17.64085,17.61843,17.59655,17.57521,17.5544,17.53412,17.51436,17.49513,17.47642,17.45823,17.44055,17.42339,17.40673,17.39059,17.37495,17.35981,17.34518,17.33104,17.31741,17.30426,17.29161,17.27946,17.26779,17.25661,17.24592,17.23572,17.226,17.21676,17.208,17.19972,17.19193,17.1846,17.17776,17.17139,17.1655,17.16009,17.15514,17.15067,17.14667,17.14314,17.14009,17.1375,17.13539,17.13374,17.13257,7.076448,6.999261,6.96321,6.941375,6.928776,6.923587,6.925186,6.933774,6.950412,6.977996,7.025833,17.15514,17.16009,17.1655,17.17139,17.17776,17.1846,17.19193,17.19972,17.208,17.21676,17.226,17.23572,17.24592,17.25661,17.26779,17.27946,17.29161,17.30426,17.31741,17.33104,17.34518,17.35981,17.37495,17.39059,17.40673,17.42339,17.44055,17.45823,17.47642,17.49513,17.51436,17.53411,17.5544,17.57521,17.59655,17.61843,17.64084,17.6638,17.68731,17.71136,272.187,1230.826,1562.459, sphere(Clone) 
17.73597,17.71136,17.68731,17.66381,17.64085,17.61843,17.59655,17.57521,17.5544,17.53412,17.51436,17.49513,17.47642,17.45823,17.44055,17.42339,17.40673,17.39059,17.37495,17.35981,17.34518,17.33104,17.31741,17.30426,17.29161,17.27946,17.26779,17.25661,17.24592,17.23572,17.226,17.21676,17.208,17.19972,17.19193,17.1846,17.17776,17.17139,17.1655,17.16009,17.15514,17.15067,17.14667,17.14314,17.14009,17.1375,17.13539,17.13374,17.13257,7.076448,6.999261,6.96321,6.941375,6.928776,6.923587,6.925186,6.933774,6.950412,6.977996,7.025833,17.15514,17.16009,17.1655,17.17139,17.17776,17.1846,17.19193,17.19972,17.208,17.21676,17.226,17.23572,17.24592,17.25661,17.26779,17.27946,17.29161,17.30426,17.31741,17.33104,17.34518,17.35981,17.37495,17.39059,17.40673,17.42339,17.44055,17.45823,17.47642,17.49513,17.51436,17.53411,17.5544,17.57521,17.59655,17.61843,17.64084,17.6638,17.68731,17.71136,272.187,1230.826,1562.459, sphere(Clone) 
17.73597,17.71136,17.68731,17.66381,17.64085,17.61843,17.59655,17.57521,17.5544,17.53412,17.51436,17.49513,17.47642,17.45823,17.44055,17.42339,17.40673,17.39059,17.37495,17.35981,17.34518,17.33104,17.31741,17.30426,17.29161,17.27946,17.26779,17.25661,17.24592,17.23572,17.226,17.21676,17.208,17.19972,17.19193,17.1846,17.17776,17.17139,17.1655,17.16009,17.15514,17.15067,17.14667,17.14314,17.14009,17.1375,17.13539,17.13374,17.13257,7.076448,6.999261,6.96321,6.941375,6.928776,6.923587,6.925186,6.933774,6.950412,6.977996,7.025833,17.15514,17.16009,17.1655,17.17139,17.17776,17.1846,17.19193,17.19972,17.208,17.21676,17.226,17.23572,17.24592,17.25661,17.26779,17.27946,17.29161,17.30426,17.31741,17.33104,17.34518,17.35981,17.37495,17.39059,17.40673,17.42339,17.44055,17.45823,17.47642,17.49513,17.51436,17.53411,17.5544,17.57521,17.59655,17.61843,17.64084,17.6638,17.68731,17.71136,272.187,1230.826,1562.459, sphere(Clone) 
17.73597,17.71136,17.68731,17.66381,17.64085,17.61843,17.59655,17.57521,17.5544,17.53412,17.51436,17.49513,17.47642,17.45823,17.44055,17.42339,17.40673,17.39059,17.37495,17.35981,17.34518,17.33104,17.31741,17.30426,17.29161,17.27946,17.26779,17.25661,17.24592,17.23572,17.226,17.21676,17.208,17.19972,17.19193,17.1846,17.17776,17.17139,17.1655,17.16009,17.15514,17.15067,17.14667,17.14314,17.14009,17.1375,17.13539,17.13374,17.13257,17.13186,17.13163,17.13186,17.13257,17.13374,17.13539,17.1375,17.14009,17.14314,17.14667,17.15067,17.15514,17.16009,17.1655,17.17139,17.17776,17.1846,17.19193,17.19972,17.208,17.21676,17.226,17.23572,17.24592,17.25661,17.26779,17.27946,17.29161,17.30426,17.31741,17.33104,17.34518,17.35981,17.37495,17.39059,17.40673,17.42339,17.44055,17.45823,17.47642,17.49513,17.51436,17.53411,17.5544,17.57521,17.59655,17.61843,17.64084,17.6638,17.68731,17.71136,0.0,0.0,0.0,  
17.73597,17.71136,17.68731,17.66381,17.64085,17.61843,17.59655,17.57521,17.5544,17.53412,17.51436,17.49513,17.47642,17.45823,17.44055,17.42339,17.40673,17.39059,17.37495,17.35981,17.34518,17.33104,17.31741,17.30426,17.29161,17.27946,17.26779,17.25661,17.24592,17.23572,17.226,17.21676,17.208,17.19972,17.19193,17.1846,17.17776,17.17139,17.1655,17.16009,17.15514,17.15067,17.14667,17.14314,17.14009,17.1375,17.13539,17.13374,17.13257,17.13186,17.13163,17.13186,17.13257,17.13374,17.13539,17.1375,17.14009,17.14314,17.14667,17.15067,17.15514,17.16009,17.1655,17.17139,17.17776,17.1846,17.19193,17.19972,17.208,17.21676,17.226,17.23572,17.24592,17.25661,17.26779,17.27946,17.29161,17.30426,17.31741,17.33104,17.34518,17.35981,17.37495,17.39059,17.40673,17.42339,17.44055,17.45823,17.47642,17.49513,17.51436,17.53411,17.5544,17.57521,17.59655,17.61843,17.64084,17.6638,17.68731,17.71136,0.0,0.0,0.0,  
17.73597,17.71136,17.68731,17.66381,17.64085,17.61843,17.59655,17.57521,17.5544,17.53412,17.51436,17.49513,17.47642,17.45823,17.44055,17.42339,17.40673,17.39059,17.37495,17.35981,17.34518,17.33104,17.31741,17.30426,17.29161,17.27946,17.26779,17.25661,17.24592,17.23572,17.226,17.21676,17.208,17.19972,17.19193,17.1846,17.17776,17.17139,17.1655,17.16009,17.15514,17.15067,17.14667,17.14314,17.14009,17.1375,17.13539,17.13374,17.13257,17.13186,17.13163,17.13186,17.13257,17.13374,17.13539,17.1375,17.14009,17.14314,17.14667,17.15067,17.15514,17.16009,17.1655,17.17139,17.17776,17.1846,17.19193,17.19972,17.208,17.21676,17.226,17.23572,17.24592,17.25661,17.26779,17.27946,17.29161,17.30426,17.31741,17.33104,17.34518,17.35981,17.37495,17.39059,17.40673,17.42339,17.44055,17.45823,17.47642,17.49513,17.51436,17.53411,17.5544,17.57521,17.59655,17.61843,17.64084,17.6638,17.68731,17.71136,0.0,0.0,0.0,  
17.73597,17.71136,17.68731,17.66381,17.64085,17.61843,17.59655,17.57521,17.5544,17.53412,17.51436,17.49513,17.47642,17.45823,17.44055,17.42339,17.40673,17.39059,17.37495,17.35981,17.34518,17.33104,17.31741,17.30426,17.29161,17.27946,17.26779,17.25661,17.24592,17.23572,17.226,17.21676,17.208,17.19972,17.19193,17.1846,17.17776,17.17139,17.1655,17.16009,17.15514,17.15067,17.14667,17.14314,17.14009,17.1375,17.13539,17.13374,17.13257,17.13186,17.13163,17.13186,17.13257,17.13374,17.13539,17.1375,17.14009,17.14314,17.14667,17.15067,17.15514,17.16009,17.1655,17.17139,17.17776,17.1846,17.19193,17.19972,17.208,17.21676,17.226,17.23572,17.24592,17.25661,17.26779,17.27946,17.29161,17.30426,17.31741,17.33104,17.34518,17.35981,17.37495,17.39059,17.40673,17.42339,17.44055,17.45823,17.47642,17.49513,17.51436,17.53411,17.5544,17.57521,17.59655,17.61843,17.64084,17.6638,17.68731,17.71136,0.0,0.0,0.0,  
17.73597,17.71136,17.68731,17.66381,17.64085,17.61843,17.59655,17.57521,17.5544,17.53412,17.51436,17.49513,17.47642,17.45823,17.44055,17.42339,17.40673,17.39059,17.37495,17.35981,17.34518,17.33104,17.31741,17.30426,17.29161,17.27946,17.26779,17.25661,17.24592,17.23572,17.226,17.21676,17.208,17.19972,17.19193,17.1846,17.17776,17.17139,17.1655,17.16009,17.15514,17.15067,17.14667,17.14314,17.14009,17.1375,17.13539,17.13374,17.13257,17.13186,17.13163,17.13186,17.13257,17.13374,17.13539,17.1375,17.14009,17.14314,17.14667,17.15067,17.15514,17.16009,17.1655,17.17139,17.17776,17.1846,17.19193,17.19972,17.208,17.21676,17.226,17.23572,17.24592,17.25661,17.26779,17.27946,17.29161,17.30426,17.31741,17.33104,17.34518,17.35981,17.37495,17.39059,17.40673,17.42339,17.44055,17.45823,17.47642,17.49513,17.51436,17.53411,17.5544,17.57521,17.59655,17.61843,17.64084,17.6638,17.68731,17.71136,0.0,0.0,0.0,  
17.73597,17.71136,17.68731,17.66381,17.64085,17.61843,17.59655,17.57521,17.5544,17.53412,17.51436,17.49513,17.47642,17.45823,17.44055,17.42339,17.40673,17.39059,17.37495,17.35981,17.34518,17.33104,17.31741,17.30426,17.29161,17.27946,17.26779,17.25661,17.24592,17.23572,17.226,17.21676,17.208,17.19972,17.19193,17.1846,17.17776,17.17139,17.1655,17.16009,17.15514,17.15067,17.14667,17.14314,17.14009,17.1375,17.13539,17.13374,17.13257,17.13186,17.13163,17.13186,17.13257,17.13374,17.13539,17.1375,17.14009,17.14314,17.14667,17.15067,17.15514,17.16009,17.1655,17.17139,17.17776,17.1846,17.19193,17.19972,17.208,17.21676,17.226,17.23572,17.24592,17.25661,17.26779,17.27946,17.29161,17.30426,17.31741,17.33104,17.34518,17.35981,17.37495,17.39059,17.40673,17.42339,17.44055,17.45823,17.47642,17.49513,17.51436,17.53411,17.5544,17.57521,17.59655,17.61843,17.64084,17.6638,17.68731,17.71136,0.0,0.0,0.0,  
17.73597,17.71136,17.68731,17.66381,17.64085,17.61843,17.59655,17.57521,17.5544,17.53412,17.51436,17.49513,17.47642,17.45823,17.44055,17.42339,17.40673,17.39059,17.37495,17.35981,17.34518,17.33104,17.31741,17.30426,17.29161,17.27946,17.26779,17.25661,17.24592,17.23572,17.226,17.21676,17.208,17.19972,17.19193,17.1846,17.17776,17.17139,17.1655,17.16009,17.15514,17.15067,17.14667,17.14314,17.14009,17.1375,17.13539,17.13374,17.13257,17.13186,17.13163,17.13186,17.13257,17.13374,17.13539,17.1375,17.14009,17.14314,17.14667,17.15067,17.15514,17.16009,17.1655,17.17139,17.17776,17.1846,17.19193,17.19972,17.208,17.21676,17.226,17.23572,17.24592,17.25661,17.26779,17.27946,17.29161,17.30426,17.31741,17.33104,17.34518,17.35981,17.37495,17.39059,17.40673,17.42339,17.44055,17.45823,17.47642,17.49513,17.51436,17.53411,17.5544,17.57521,17.59655,17.61843,17.64084,17.6638,17.68731,17.71136,0.0,0.0,0.0,  
17.73597,17.71136,17.68731,17.66381,17.64085,17.61843,17.59655,17.57521,17.5544,17.53412,17.51436,17.49513,17.47642,17.45823,17.44055,17.42339,17.40673,17.39059,17.37495,17.35981,17.34518,17.33104,17.31741,17.30426,17.29161,17.27946,17.26779,17.25661,17.24592,17.23572,17.226,17.21676,17.208,17.19972,17.19193,17.1846,17.17776,17.17139,17.1655,17.16009,17.15514,17.15067,17.14667,17.14314,17.14009,17.1375,17.13539,17.13374,17.13257,17.13186,17.13163,17.13186,17.13257,17.13374,17.13539,17.1375,17.14009,17.14314,17.14667,17.15067,17.15514,17.16009,17.1655,17.17139,17.17776,17.1846,17.19193,17.19972,17.208,17.21676,17.226,17.23572,17.24592,17.25661,17.26779,17.27946,17.29161,17.30426,17.31741,17.33104,17.34518,17.35981,17.37495,17.39059,17.40673,17.42339,17.44055,17.45823,17.47642,17.49513,17.51436,17.53411,17.5544,17.57521,17.59655,17.61843,17.64084,17.6638,17.68731,17.71136,0.0,0.0,0.0,  
17.73597,17.71136,17.68731,17.66381,17.64085,17.61843,17.59655,17.57521,17.5544,17.53412,17.51436,17.49513,17.47642,17.45823,17.44055,17.42339,17.40673,17.39059,17.37495,17.35981,17.34518,17.33104,17.31741,17.30426,17.29161,17.27946,17.26779,17.25661,17.24592,17.23572,17.226,17.21676,17.208,17.19972,17.19193,17.1846,17.17776,17.17139,17.1655,17.16009,17.15514,17.15067,17.14667,17.14314,17.14009,17.1375,17.13539,17.13374,17.13257,17.13186,17.13163,17.13186,17.13257,17.13374,17.13539,17.1375,17.14009,17.14314,17.14667,17.15067,17.15514,17.16009,17.1655,17.17139,17.17776,17.1846,17.19193,17.19972,17.208,17.21676,17.226,17.23572,17.24592,17.25661,17.26779,17.27946,17.29161,17.30426,17.31741,17.33104,17.34518,17.35981,17.37495,17.39059,17.40673,17.42339,17.44055,17.45823,17.47642,17.49513,17.51436,17.53411,17.5544,17.57521,17.59655,17.61843,17.64084,17.6638,17.68731,17.71136,0.0,0.0,0.0,  
17.73597,17.71136,17.68731,17.66381,17.64085,17.61843,17.59655,17.57521,17.5544,17.53412,17.51436,17.49513,17.47642,17.45823,17.44055,17.42339,17.40673,17.39059,17.37495,17.35981,17.34518,17.33104,17.31741,17.30426,17.29161,17.27946,17.26779,17.25661,17.24592,17.23572,17.226,17.21676,17.208,17.19972,17.19193,17.1846,17.17776,17.17139,17.1655,17.16009,17.15514,17.15067,17.14667,17.14314,17.14009,17.1375,17.13539,17.13374,17.13257,17.13186,17.13163,17.13186,17.13257,17.13374,17.13539,17.1375,17.14009,17.14314,17.14667,17.15067,17.15514,17.16009,17.1655,17.17139,17.17776,17.1846,17.19193,17.19972,17.208,17.21676,17.226,17.23572,17.24592,17.25661,17.26779,17.27946,17.29161,17.30426,17.31741,17.33104,17.34518,17.35981,17.37495,17.39059,17.40673,17.42339,17.44055,17.45823,17.47642,17.49513,17.51436,17.53411,17.5544,17.57521,17.59655,17.61843,17.64084,17.6638,17.68731,17.71136,0.0,0.0,0.0,  
17.73597,17.71136,17.68731,17.66381,17.64085,17.61843,17.59655,17.57521,17.5544,17.53412,17.51436,17.49513,17.47642,17.45823,17.44055,17.42339,17.40673,17.39059,17.37495,17.35981,17.34518,17.33104,17.31741,17.30426,17.29161,17.27946,17.26779,17.25661,17.24592,17.23572,17.226,17.21676,17.208,17.19972,17.19193,17.1846,17.17776,17.17139,17.1655,17.16009,17.15514,17.15067,17.14667,17.14314,17.14009,17.1375,17.13539,17.13374,17.13257,17.13186,17.13163,17.13186,17.13257,17.13374,17.13539,17.1375,17.14009,17.14314,17.14667,17.15067,17.15514,17.16009,17.1655,17.17139,17.17776,17.1846,17.19193,17.19972,17.208,17.21676,17.226,17.23572,17.24592,17.25661,17.26779,17.27946,17.29161,17.30426,17.31741,17.33104,17.34518,17.35981,17.37495,17.39059,17.40673,17.42339,17.44055,17.45823,17.47642,17.49513,17.51436,17.53411,17.5544,17.57521,17.59655,17.61843,17.64084,17.6638,17.68731,17.71136,0.0,0.0,0.0,  
17.73597,17.71136,17.68731,17.66381,17.64085,17.61843,17.59655,17.57521,17.5544,17.53412,17.51436,17.49513,17.47642,17.45823,17.44055,17.42339,17.40673,17.39059,17.37495,17.35981,17.34518,17.33104,17.31741,17.30426,17.29161,17.27946,17.26779,17.25661,17.24592,17.23572,17.226,17.21676,17.208,17.19972,17.19193,17.1846,17.17776,17.17139,17.1655,17.16009,17.15514,17.15067,17.14667,17.14314,17.14009,17.1375,17.13539,17.13374,17.13257,17.13186,17.13163,17.13186,17.13257,17.13374,17.13539,17.1375,17.14009,17.14314,17.14667,17.15067,17.15514,17.16009,17.1655,17.17139,17.17776,17.1846,17.19193,17.19972,17.208,17.21676,17.226,17.23572,17.24592,17.25661,17.26779,17.27946,17.29161,17.30426,17.31741,17.33104,17.34518,17.35981,17.37495,17.39059,17.40673,17.42339,17.44055,17.45823,17.47642,17.49513,17.51436,17.53411,17.5544,17.57521,17.59655,17.61843,17.64084,17.6638,17.68731,17.71136,0.0,0.0,0.0,  
17.73597,17.71136,17.68731,17.66381,17.64085,17.61843,17.59655,17.57521,17.5544,17.53412,17.51436,17.49513,17.47642,17.45823,17.44055,17.42339,17.40673,17.39059,17.37495,17.35981,17.34518,17.33104,17.31741,17.30426,17.29161,17.27946,17.26779,17.25661,17.24592,17.23572,17.226,17.21676,17.208,17.19972,17.19193,17.1846,17.17776,17.17139,17.1655,17.16009,17.15514,17.15067,17.14667,17.14314,17.14009,17.1375,17.13539,17.13374,17.13257,17.13186,17.13163,17.13186,17.13257,17.13374,17.13539,17.1375,17.14009,17.14314,17.14667,17.15067,17.15514,17.16009,17.1655,17.17139,17.17776,17.1846,17.19193,17.19972,17.208,17.21676,17.226,17.23572,17.24592,17.25661,17.26779,17.27946,17.29161,17.30426,17.31741,17.33104,17.34518,17.35981,17.37495,17.39059,17.40673,17.42339,17.44055,17.45823,17.47642,17.49513,17.51436,17.53411,17.5544,17.57521,17.59655,17.61843,17.64084,17.6638,17.68731,17.71136,0.0,0.0,0.0,  
17.73597,17.71136,17.68731,17.66381,17.64085,17.61843,17.59655,17.57521,17.5544,17.53412,17.51436,17.49513,17.47642,17.45823,17.44055,17.42339,17.40673,17.39059,17.37495,17.35981,17.34518,17.33104,17.31741,17.30426,17.29161,17.27946,17.26779,17.25661,17.24592,17.23572,17.226,17.21676,17.208,17.19972,17.19193,17.1846,17.17776,17.17139,17.1655,17.16009,17.15514,17.15067,17.14667,17.14314,17.14009,17.1375,17.13539,17.13374,17.13257,17.13186,17.13163,17.13186,17.13257,17.13374,17.13539,17.1375,17.14009,17.14314,17.14667,17.15067,17.15514,17.16009,17.1655,17.17139,17.17776,17.1846,17.19193,17.19972,17.208,17.21676,17.226,17.23572,17.24592,17.25661,17.26779,17.27946,17.29161,17.30426,17.31741,17.33104,17.34518,17.35981,17.37495,17.39059,17.40673,17.42339,17.44055,17.45823,17.47642,17.49513,17.51436,17.53411,17.5544,17.57521,17.59655,17.61843,17.64084,17.6638,17.68731,17.71136,0.0,0.0,0.0,  
17.73597,17.71136,17.68731,17.66381,17.64085,17.61843,17.59655,17.57521,17.5544,17.53412,17.51436,17.49513,17.47642,17.45823,17.44055,17.42339,17.40673,17.39059,17.37495,17.35981,17.34518,17.33104,17.31741,17.30426,17.29161,17.27946,17.26779,17.25661,17.24592,17.23572,17.226,17.21676,17.208,17.19972,17.19193,17.1846,17.17776,17.17139,17.1655,17.16009,17.15514,17.15067,17.14667,17.14314,17.14009,17.1375,17.13539,17.13374,17.13257,17.13186,17.13163,17.13186,17.13257,17.13374,17.13539,17.1375,17.14009,17.14314,17.14667,17.15067,17.15514,17.16009,17.1655,17.17139,17.17776,17.1846,17.19193,17.19972,17.208,17.21676,17.226,17.23572,17.24592,17.25661,17.26779,17.27946,17.29161,17.30426,17.31741,17.33104,17.34518,17.35981,17.37495,17.39059,17.40673,17.42339,17.44055,17.45823,17.47642,17.49513,17.51436,17.53411,17.5544,17.57521,17.59655,17.61843,17.64084,17.6638,17.68731,17.71136,0.0,0.0,0.0,  
17.73597,17.71136,17.68731,17.66381,17.64085,17.61843,17.59655,17.57521,17.5544,17.53412,17.51436,17.49513,17.47642,17.45823,17.44055,17.42339,17.40673,17.39059,17.37495,17.35981,17.34518,17.33104,17.31741,17.30426,17.29161,17.27946,17.26779,17.25661,17.24592,17.23572,17.226,17.21676,17.208,17.19972,17.19193,17.1846,17.17776,17.17139,17.1655,17.16009,17.15514,17.15067,17.14667,17.14314,17.14009,17.1375,17.13539,17.13374,17.13257,17.13186,17.13163,17.13186,17.13257,17.13374,17.13539,17.1375,17.14009,17.14314,17.14667,17.15067,17.15514,17.16009,17.1655,17.17139,17.17776,17.1846,17.19193,17.19972,17.208,17.21676,17.226,17.23572,17.24592,17.25661,17.26779,17.27946,17.29161,17.30426,17.31741,17.33104,17.34518,17.35981,17.37495,17.39059,17.40673,17.42339,17.44055,17.45823,17.47642,17.49513,17.51436,17.53411,17.5544,17.57521,17.59655,17.61843,17.64084,17.6638,17.68731,17.71136,0.0,0.0,0.0,  
17.73597,17.71136,17.68731,17.66381,17.64085,17.61843,17.59655,17.57521,17.5544,17.53412,17.51436,17.49513,17.47642,17.45823,17.44055,17.42339,17.40673,17.39059,17.37495,17.35981,17.34518,17.33104,17.31741,17.30426,17.29161,17.27946,17.26779,17.25661,17.24592,17.23572,17.226,17.21676,17.208,17.19972,17.19193,17.1846,17.17776,17.17139,17.1655,17.16009,17.15514,17.15067,17.14667,17.14314,17.14009,17.1375,17.13539,17.13374,17.13257,17.13186,17.13163,17.13186,17.13257,17.13374,17.13539,17.1375,17.14009,17.14314,17.14667,17.15067,17.15514,17.16009,17.1655,17.17139,17.17776,17.1846,17.19193,17.19972,17.208,17.21676,17.226,17.23572,17.24592,17.25661,17.26779,17.27946,17.29161,17.30426,17.31741,17.33104,17.34518,17.35981,17.37495,17.39059,17.40673,17.42339,17.44055,17.45823,17.47642,17.49513,17.51436,17.53411,17.5544,17.57521,17.59655,17.61843,17.64084,17.6638,17.68731,17.71136,0.0,0.0,0.0,  
17.73597,17.71136,17.68731,17.66381,17.64085,17.61843,17.59655,17.57521,17.5544,17.53412,17.51436,17.49513,17.47642,17.45823,17.44055,17.42339,17.40673,17.39059,17.37495,17.35981,17.34518,17.33104,17.31741,17.30426,17.29161,17.27946,17.26779,17.25661,17.24592,17.23572,17.226,17.21676,17.208,17.19972,17.19193,17.1846,17.17776,17.17139,17.1655,17.16009,17.15514,17.15067,17.14667,17.14314,17.14009,17.1375,17.13539,17.13374,17.13257,17.13186,17.13163,17.13186,17.13257,17.13374,17.13539,17.1375,17.14009,17.14314,17.14667,17.15067,17.15514,17.16009,17.1655,17.17139,17.17776,17.1846,17.19193,17.19972,17.208,17.21676,17.226,17.23572,17.24592,17.25661,17.26779,17.27946,17.29161,17.30426,17.31741,17.33104,17.34518,17.35981,17.37495,17.39059,17.40673,17.42339,17.44055,17.45823,17.47642,17.49513,17.51436,17.53411,17.5544,17.57521,17.59655,17.61843,17.64084,17.6638,17.68731,17.71136,0.0,0.0,0.0,  
17.73597,17.71136,17.68731,17.66381,17.64085,17.61843,17.59655,17.57521,17.5544,17.53412,17.51436,17.49513,17.47642,17.45823,17.44055,17.42339,17.40673,17.39059,17.37495,17.35981,17.34518,17.33104,17.31741,17.30426,17.29161,17.27946,17.26779,17.25661,17.24592,17.23572,17.226,17.21676,17.208,17.19972,17.19193,17.1846,17.17776,17.17139,17.1655,17.16009,17.15514,17.15067,17.14667,17.14314,17.14009,17.1375,17.13539,17.13374,17.13257,17.13186,17.13163,17.13186,17.13257,17.13374,17.13539,17.1375,17.14009,17.14314,17.14667,17.15067,17.15514,17.16009,17.1655,17.17139,17.17776,17.1846,17.19193,17.19972,17.208,17.21676,17.226,17.23572,17.24592,17.25661,17.26779,17.27946,17.29161,17.30426,17.31741,17.33104,17.34518,17.35981,17.37495,17.39059,17.40673,17.42339,17.44055,17.45823,17.47642,17.49513,17.51436,17.53411,17.5544,17.57521,17.59655,17.61843,17.64084,17.6638,17.68731,17.71136,0.0,0.0,0.0,  
17.73597,17.71136,17.68731,17.66381,17.64085,17.61843,17.59655,17.57521,17.5544,17.53412,17.51436,17.49513,17.47642,17.45823,17.44055,17.42339,17.40673,17.39059,17.37495,17.35981,17.34518,17.33104,17.31741,17.30426,17.29161,17.27946,17.26779,17.25661,17.24592,17.23572,17.226,17.21676,17.208,17.19972,17.19193,17.1846,17.17776,17.17139,17.1655,17.16009,17.15514,17.15067,17.14667,17.14314,17.14009,17.1375,17.13539,17.13374,17.13257,17.13186,17.13163,17.13186,17.13257,17.13374,17.13539,17.1375,17.14009,17.14314,17.14667,17.15067,17.15514,17.16009,17.1655,17.17139,17.17776,17.1846,17.19193,17.19972,17.208,17.21676,17.226,17.23572,17.24592,17.25661,17.26779,17.27946,17.29161,17.30426,17.31741,17.33104,17.34518,17.35981,17.37495,17.39059,17.40673,17.42339,17.44055,17.45823,17.47642,17.49513,17.51436,17.53411,17.5544,17.57521,17.59655,17.61843,17.64084,17.6638,17.68731,17.71136,0.0,0.0,0.0,  
17.73597,17.71136,17.68731,17.66381,17.64085,17.61843,17.59655,17.57521,17.5544,17.53412,17.51436,17.49513,17.47642,17.45823,17.44055,17.42339,17.40673,17.39059,17.37495,17.35981,17.34518,17.33104,17.31741,17.30426,17.29161,17.27946,17.26779,17.25661,17.24592,17.23572,17.226,17.21676,17.208,17.19972,17.19193,17.1846,17.17776,17.17139,17.1655,17.16009,17.15514,17.15067,17.14667,17.14314,17.14009,17.1375,17.13539,17.13374,17.13257,17.13186,17.13163,17.13186,17.13257,17.13374,17.13539,17.1375,17.14009,17.14314,17.14667,17.15067,17.15514,17.16009,17.1655,17.17139,17.17776,17.1846,17.19193,17.19972,17.208,17.21676,17.226,17.23572,17.24592,17.25661,17.26779,17.27946,17.29161,17.30426,17.31741,17.33104,17.34518,17.35981,17.37495,17.39059,17.40673,17.42339,17.44055,17.45823,17.47642,17.49513,17.51436,17.53411,17.5544,17.57521,17.59655,17.61843,17.64084,17.6638,17.68731,17.71136,0.0,0.0,0.0,  
17.73597,17.71136,17.68731,17.66381,17.64085,17.61843,17.59655,17.57521,17.5544,17.53412,17.51436,17.49513,17.47642,17.45823,17.44055,17.42339,17.40673,17.39059,17.37495,17.35981,17.34518,17.33104,17.31741,17.30426,17.29161,17.27946,17.26779,17.25661,17.24592,17.23572,17.226,17.21676,17.208,17.19972,17.19193,17.1846,17.17776,17.17139,17.1655,17.16009,17.15514,17.15067,17.14667,17.14314,17.14009,17.1375,17.13539,17.13374,17.13257,17.13186,17.13163,17.13186,17.13257,17.13374,17.13539,17.1375,17.14009,17.14314,17.14667,17.15067,17.15514,17.16009,17.1655,17.17139,17.17776,17.1846,17.19193,17.19972,17.208,17.21676,17.226,17.23572,17.24592,17.25661,17.26779,17.27946,17.29161,17.30426,17.31741,17.33104,17.34518,17.35981,17.37495,17.39059,17.40673,17.42339,17.44055,17.45823,17.47642,17.49513,17.51436,17.53411,17.5544,17.57521,17.59655,17.61843,17.64084,17.6638,17.68731,17.71136,0.0,0.0,0.0,  
